#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 02 03 00 208 11.5 14.2 99.00 99.00 99.00 999 1007.0 999.0  13.0 999.0 99.0 99.00 
2022 01 02 03 10 208 12.1 15.3 99.00 99.00 99.00 999 1006.9 999.0  13.0 999.0 99.0 99.00 
2022 01 02 03 20 209 12.3 15.5 99.00 99.00 99.00 999 1006.9 999.0  13.0 999.0 99.0 99.00 
2022 01 02 03 30 208 11.3 14.1 99.00 99.00 99.00 999 1007.0 999.0  13.0 999.0 99.0 99.00 
2022 01 02 03 40 208 11.2 14.8  2.11  6.25  5.23 185 1006.9 999.0  13.0 999.0 99.0 99.00 
2022 01 02 03 50 207 11.1 14.1 99.00 99.00 99.00 999 1006.8 999.0  13.0 999.0 99.0 99.00 
2022 01 02 04 00 207 10.8 13.5 99.00 99.00 99.00 999 1006.8 999.0  13.0 999.0 99.0 99.00 
2022 01 02 04 10 207 10.6 13.5 99.00 99.00 99.00 999 1006.8 999.0  13.0 999.0 99.0 99.00 
2022 01 02 04 20 206 10.3 13.1 99.00 99.00 99.00 999 1006.7 999.0  13.0 999.0 99.0 99.00 
2022 01 02 04 30 204 10.3 12.6 99.00 99.00 99.00 999 1006.6 999.0  13.0 999.0 99.0 99.00 
2022 01 02 04 40 202 10.4 12.8  2.03  6.25  5.18 186 1006.5 999.0  13.0 999.0 99.0 99.00 
2022 01 02 04 50 204 10.8 14.0 99.00 99.00 99.00 999 1006.5 999.0  13.0 999.0 99.0 99.00 
2022 01 02 05 00 203 11.1 13.8 99.00 99.00 99.00 999 1006.3 999.0  13.0 999.0 99.0 99.00 
2022 01 02 05 10 201 10.7 14.2 99.00 99.00 99.00 999 1006.3 999.0  13.0 999.0 99.0 99.00 
2022 01 02 05 20 204 11.2 13.6 99.00 99.00 99.00 999 1006.3 999.0  13.0 999.0 99.0 99.00 
2022 01 02 05 30 203 11.1 13.9 99.00 99.00 99.00 999 1006.0 999.0  13.0 999.0 99.0 99.00 
2022 01 02 05 40 201 11.7 14.7  2.06  7.14  5.25 166 1005.9 999.0  13.0 999.0 99.0 99.00 
2022 01 02 05 50 200 12.4 15.1 99.00 99.00 99.00 999 1005.7 999.0  13.0 999.0 99.0 99.00 
2022 01 02 06 00 202 12.0 15.1 99.00 99.00 99.00 999 1005.8 999.0  13.0 999.0 99.0 99.00 
2022 01 02 06 10 201 12.2 15.5 99.00 99.00 99.00 999 1005.7 999.0  13.0 999.0 99.0 99.00 
2022 01 02 06 20 202 12.2 16.0 99.00 99.00 99.00 999 1005.7 999.0  13.0 999.0 99.0 99.00 
2022 01 02 06 30 203 12.0 15.9 99.00 99.00 99.00 999 1005.8 999.0  13.0 999.0 99.0 99.00 
2022 01 02 06 40 203 12.6 16.8  2.29  6.67  5.29 189 1005.9 999.0  13.0 999.0 99.0 99.00 
2022 01 02 06 50 201 12.8 16.5 99.00 99.00 99.00 999 1005.7 999.0  13.0 999.0 99.0 99.00 
2022 01 02 07 00 202 12.3 15.3 99.00 99.00 99.00 999 1005.9 999.0  13.0 999.0 99.0 99.00 
2022 01 02 07 10 206 11.8 15.1 99.00 99.00 99.00 999 1006.1 999.0  13.1 999.0 99.0 99.00 
2022 01 02 07 20 204 11.7 14.3 99.00 99.00 99.00 999 1006.0 999.0  13.0 999.0 99.0 99.00 
2022 01 02 07 30 207 11.7 15.1 99.00 99.00 99.00 999 1005.9 999.0  13.0 999.0 99.0 99.00 
2022 01 02 07 40 206 11.6 14.9 99.00 99.00 99.00 999 1005.7 999.0  13.0 999.0 99.0 99.00 
2022 01 02 07 50 204 11.8 14.7 99.00 99.00 99.00 999 1005.9 999.0  13.0 999.0 99.0 99.00 
2022 01 02 08 00 206 11.3 13.7 99.00 99.00 99.00 999 1005.8 999.0  13.0 999.0 99.0 99.00 
2022 01 02 08 10 207 11.2 14.3 99.00 99.00 99.00 999 1005.6 999.0  13.0 999.0 99.0 99.00 
2022 01 02 08 20 203 11.5 14.2 99.00 99.00 99.00 999 1005.4 999.0  13.0 999.0 99.0 99.00 
2022 01 02 08 30 201 11.6 14.6 99.00 99.00 99.00 999 1005.2 999.0  13.0 999.0 99.0 99.00 
2022 01 02 08 40 204 11.3 14.2  2.20  6.25  5.25 191 1005.1 999.0  13.0 999.0 99.0 99.00 
2022 01 02 08 50 206 11.1 14.0 99.00 99.00 99.00 999 1004.9 999.0  13.0 999.0 99.0 99.00 
2022 01 02 09 00 204 11.0 14.4 99.00 99.00 99.00 999 1004.7 999.0  13.0 999.0 99.0 99.00 
2022 01 02 09 10 205 11.5 14.4 99.00 99.00 99.00 999 1004.8 999.0  13.0 999.0 99.0 99.00 
2022 01 02 09 20 206 11.3 13.9 99.00 99.00 99.00 999 1004.8 999.0  13.0 999.0 99.0 99.00 
2022 01 02 09 30 206 11.0 13.6 99.00 99.00 99.00 999 1004.7 999.0  13.0 999.0 99.0 99.00 
2022 01 02 09 40 205 11.2 13.7 99.00 99.00 99.00 999 1004.7 999.0  13.0 999.0 99.0 99.00 
2022 01 02 09 50 205 11.0 13.9 99.00 99.00 99.00 999 1004.7 999.0  13.0 999.0 99.0 99.00 
2022 01 02 10 00 205 11.5 14.8 99.00 99.00 99.00 999 1004.6 999.0  13.0 999.0 99.0 99.00 
2022 01 02 10 10 204 11.6 14.4 99.00 99.00 99.00 999 1004.4 999.0  13.0 999.0 99.0 99.00 
2022 01 02 10 20 205 11.8 15.1 99.00 99.00 99.00 999 1004.3 999.0  13.0 999.0 99.0 99.00 
2022 01 02 10 30 202 11.3 14.3 99.00 99.00 99.00 999 1004.3 999.0  13.0 999.0 99.0 99.00 
2022 01 02 10 40 207 11.0 13.8  2.21  7.14  5.24 184 1004.5 999.0  13.0 999.0 99.0 99.00 
